Bundesland,A00-A04,A05-A14,A15-A34,A35-A59,A60-A79,A80+,gesamt
Baden-Württemberg,266646,497230,1274769,1894370,1197808,455584,5586407
Bayern,315169,570974,1489298,2285093,1435614,531440,6627588
Berlin,93172,161204,470735,628376,371508,137055,1862050
Brandenburg,52610,111975,209109,446013,333856,129458,1283021
Bremen,16487,29099,82599,111060,74945,29550,343740
Hamburg,48385,81121,245686,326475,174059,69819,945545
Hessen,148526,281465,709367,1097332,691930,256126,3184746
Mecklenburg-Vorpommern,32321,68620,142144,268702,220900,84550,817237
Niedersachsen,185069,353270,867911,1367867,922602,355246,4051965
Nordrhein-Westfalen,422925,795494,2024377,3083130,2022434,782322,9130682
Rheinland-Pfalz,94588,176652,440736,700972,480179,179159,2072286
Saarland,20211,38547,101091,165543,126823,48775,500990
Sachsen,88045,177636,376262,648577,540199,227196,2057915
Sachsen-Anhalt,42780,88801,185603,357961,311172,121772,1108089
Schleswig-Holstein,63226,126963,302773,511069,348515,132680,1485226
Thüringen,42894,89330,183380,348012,294902,112507,1071025
